ID,CLASS,WIDTH,LENGTH,PERIMETER,AREA,ANGLE1,ANGLE2
1,cherry,31,57,134,1139,102,92
2,cherry,48,88,206,2726,108,92
3,cherry,41,91,203,2339,120,103
4,cherry,37,68,160,1667,79,70
5,cherry,32,74,164,1446,126,75
6,cherry,32,59,138,1225,94,86
7,cherry,45,106,234,3078,107,74
8,cherry,32,69,156,1499,99,76
9,cherry,42,98,218,2631,100,90
10,cherry,33,74,165,1511,122,102
11,cherry,38,90,200,2223,109,100
12,cherry,32,84,183,1738,119,117
13,cherry,37,80,182,1944,97,83
14,cherry,33,81,180,1791,103,82
15,cherry,39,84,190,2131,104,72
16,cherry,36,83,184,1843,104,94
17,pear,41,61,160,1801,85,45
18,pear,44,59,163,1966,45,44
19,pear,40,63,158,1714,108,26
20,pear,42,80,190,2258,121,32
21,pear,42,69,174,2019,108,30
22,pear,47,66,175,2224,59,43
23,pear,39,62,157,1704,87,37
24,pear,40,67,168,1877,105,32
25,pear,46,85,204,2655,105,24
26,pear,41,91,209,2574,85,55
27,pear,38,67,163,1796,77,58
28,pear,44,77,188,2336,108,39
29,pear,36,67,158,1579,77,67
30,pear,43,80,193,2387,106,41
31,pear,52,75,195,2722,53,45
32,pear,33,64,151,1423,69,67
